location,year,hate_crime_incident_count,BEA_percapita_personal_income,BEA_personal_income_mills,1_revenue,2_general_revenue,3_intergovernmental_revenue,4_from_federal_government,5_from_state_government,6_from_local_governments,7_general_revenue_from_own_sources,8_taxes,9_property,10_sales_and_gross_receipts,11_general_sales,12_selective_sales,13_motor_fuel,14_alcoholic_beverage,15_tobacco_products,16_public_utilities,17_other_selective_sales,18_individual_income,19_corporate_income,20_motor_vehicle_license,21_other_taxes,22_charges_and_miscellaneous_general_revenue,23_current_charges,24_education,25_institutions__of_higher_education,26_school_lunch_sales_gross,27_hospitals,28_highways,29_air_transportation_airports,30_parking_facilities,31_sea_and_inland_port_facilities,32_natural_resources,33_parks_and_recreation,34_housing_and_community_development,35_sewerage,36_solid_waste_management,37_other_charges,38_miscellaneous_general_revenue,39_interest_earnings,40_special_assessments,41_sale_of_property,42_other_general_revenue,43_utility_revenue,44_water_supply,45_electric_power,46_gas_supply,47_transit,48_liquor_store_revenue,49_insurance_trust_revenue,50_unemployment_compensation,51_employee_retirement,52_workers_compensation,53_other_insurance_trust_revenue,54_expenditure,55_intergovernmental_expenditure,56_direct_expenditure,57_current_operations,58_capital_outlay,59_construction,60_other_capital_outlay,61_assistance_and_subsidies,62_interest_on_debt,63_insurance_benefits_and_repayments,64_exhibit_salaries_and_wages,65_direct_expenditure_by_function,66_direct_general_expenditure,67_capital_outlay,68_other_direct_general_expenditure,69_education,70_capital_outlay,71_higher_education,72_capital_outlay,73_elementary__secondary,74_capital_outlay,75_other_education,76_libraries,77_public_welfare,78_cash_assistance_payments,79_vendor_payments,80_other_public_welfare,81_hospitals,82_capital_outlay,83_health,84_employment_security_administration,85_veterans_services,86_highways,87_capital_outlay,88_air_transportation_airports,89_parking_facilities,90_sea_and_inland_port_facilities,92_police_protection,93_fire_protection,94_correction,95_capital_outlay,96_protective_inspection_and_regulation,97_natural_resources,98_capital_outlay,99_parks_and_recreation,100_capital_outlay,101_housing_and_community_development,102_sewerage,103_capital_outlay,104_solid_waste_management,105_capital_outlay,106_financial_administration,107_judicial_and_legal,108_general_public_buildings,109_other_governmental_administration,110_interest_on_general_debt,111_miscellaneous_commercial_activities,112_other_and_unallocable,113_utility_expenditure,114_capital_outlay,115_water_supply,116_electric_power,117_gas_supply,118_transit,119_liquor_store_expenditure,120_insurance_trust_expenditure,121_unemployment_compensation,122_employee_retirement,123_workers_compensation,124_other_insurance_trust,125_debt_outstanding,126_shortterm,127_longterm,130_public_debt_for_private_purposes,134_longterm_debt_issued,135_longterm_debt_retired,136_cash_and_security_holdings,137_insurance_trust_funds,138_unemployment_compensation,139_employee_retirement,140_workers_compensation,141_miscellaneous,142_other_than_insurance_trust_funds,143_offsets_to_debt,144_bond_funds,145_other
Alabama,2013,6,36014,175185.3,46031370,36109737,10707587,10707587,0,0,25402150,14517183,2550048,6974772,4262414,2712358,614194,214651,153323,808426,921764,3306562,382202,225668,1077931,10884967,8789684,2475271,2102965,116826,4627304,26819,104694,8891,147508,9630,120788,79645,473519,200914,514701,2095283,367153,16397,86039,1625694,3420442,839214,2149421,427253,4554,278248,6222943,959470,5263473,0,0,46678459,0,46678459,35535716,4366522,3137654,1228868,2039080,1199684,3537457,12203394,46678459,39483221,4052586,35430635,14472193,1594784,4977347,939834,7448768,643843,2046078,97236,7730356,1530518,5552069,647769,5161942,327236,878686,97961,7438,2342510,1154379,195534,17592,139837,1163321,446892,683678,24822,125927,259834,49809,412117,32088,443632,373263,107332,264397,28221,585589,338124,112721,466476,1038498,13710,1613757,3395340,313936,842471,2106418,385675,60776,262441,3537457,413923,3123534,0,0,30946149,291023,30655126,1614759,3953203,4034136,55977504,30803297,491134,30312163,0,0,25174207,3708314,2265703,19200190
Alabama,2014,9,37055,181078.8,44391144,35855697,10173212,10173212,0,0,25682485,14520766,2549116,7068368,4323729,2744639,615997,220847,149384,806127,952284,3311618,406408,211407,973849,11161719,8963221,2608727,2235292,116720,4710005,10966,108185,9425,162318,9543,116698,79518,463383,196113,488340,2198498,420251,16875,86270,1675102,2945218,836264,1677969,426326,4659,288982,5301247,233707,5067540,0,0,46627962,0,46627962,35758978,3862173,2895451,966722,1990253,1271274,3745284,12298824,46627962,39631914,3545536,36086378,14357414,1151393,4706215,556901,7527549,583078,2123650,94879,7853919,1441250,5783198,629471,5294884,297970,792619,94802,6379,2282481,1115714,164291,18952,175274,1169003,441375,712553,34986,132886,251900,38727,416125,43017,473424,346564,82815,243411,25940,606989,343059,112123,438184,1115246,18467,1674711,2983880,316637,878485,1668508,376270,60617,266884,3745284,535718,3209566,0,0,30454127,286689,30167438,1328669,2277760,2853226,57091689,32829007,224892,32604115,0,0,24262682,3376673,1828459,19057550
Alabama,2015,10,38531,189115.4,43614708,38264379,10727005,10727005,0,0,27537374,15180094,2579687,7334615,4523693,2810922,637605,233369,149475,808431,982042,3450713,533586,234826,1046667,12357280,9787576,2742215,2383523,101181,5128186,12108,109911,10161,289772,8011,166174,85630,506632,204481,524295,2569704,433855,17802,113296,2004751,3097889,886531,1761495,445008,4855,308180,1944260,338715,1605545,0,0,47322321,0,47322321,36496529,3917282,2886686,1030596,2051655,1176547,3680308,12565281,47322321,40277001,3574199,36702802,14699632,1162675,4863337,632371,7496899,518043,2339396,98260,8146149,1446948,6044133,655068,5338472,321976,829530,97330,6212,2387575,1193804,121337,19022,129975,1239236,457054,741542,36168,135355,263227,45353,417911,42181,505630,332188,64548,258836,25109,586779,351911,109501,447077,1031439,19780,1506041,3079279,343083,896380,1730403,390895,61601,285733,3680308,223151,3457157,0,0,29484583,305769,29178814,1227208,4128999,5507497,57110489,32737547,895052,31842495,0,0,24372942,3155319,2081642,19135981
Alabama,2016,14,39014,192363.5,46651306,38703898,10411381,10411381,0,0,28292517,16025150,2690722,7764745,4836747,2927998,660470,260832,212026,765497,1029173,3744038,473736,242110,1109799,12267367,10184941,2914762,2542480,110651,5520001,15497,111759,10670,119690,7045,141562,94669,533254,224662,491370,2082426,313206,29311,82076,1657833,3018731,884903,1722197,407088,4543,325393,4603284,293843,4309441,0,0,47285873,0,47285873,36142068,4182091,3179162,1002929,2045552,1139990,3776172,12807808,47285873,40186385,3804695,36381690,13602047,1216969,4881370,529566,7700623,677333,1020054,95107,8404388,1369945,6329671,704772,5956802,319453,823787,94880,5922,2414997,1228097,111014,17695,115226,1249556,480366,721568,28675,137083,234322,36400,453847,67518,499373,386109,114866,281704,27710,613407,362247,110021,459648,1006207,20738,1528324,3002048,377396,937722,1635264,361776,67286,321268,3776172,196704,3579468,0,0,29490599,292985,29197614,800673,2781246,3402316,60339532,35398162,1058214,34339948,0,0,24941370,2892099,1856520,20192751
Alabama,2019,1,43157,215930.4,52534873,43860663,12251463,12251463,0,0,31609200,18027706,3041285,8660886,5510406,3150479,706371,256263,203101,791156,1193589,4320962,684296,263551,1056727,13581493,11015899,3215630,2839850,102210,5854962,13732,117810,11813,158449,7035,101805,118050,607768,253158,555686,2565595,597718,25414,81123,1861340,3401086,985757,1977441,433660,4229,378578,4894546,233540,4661006,0,0,50478634,0,50478634,39642949,4888732,3679217,1209515,1011056,1122093,3813804,14452944,50478634,43033835,4496055,38537780,15110522,1403986,5673352,798165,8183658,593970,1253512,104520,7948663,135289,7044286,769087,6299485,350420,929053,101797,6985,2851099,1515882,142656,16303,155826,1361533,517930,838296,44865,158401,264670,31434,479171,100707,498634,498351,195436,304194,24513,687379,402070,133196,507040,1003006,18390,1694664,3279937,392676,940833,1896834,362895,79376,351058,3813804,145909,3667895,0,0,30859593,281189,30578404,571459,2522452,2426316,71389935,42991615,1441198,41550417,0,0,28398320,2931052,2918854,22548415
Alaska,2013,8,52812,38978,17583374,15230948,2991692,2991692,0,0,12239256,6797934,1410010,563276,217869,345407,41608,44137,100762,5100,153800,0,630941,79082,4114625,5441322,1471007,220771,186196,9104,335511,83794,116987,485,69608,27889,10039,46234,100704,76605,382380,3970315,777875,4910,306284,2881246,381387,98045,275567,0,7775,4126,1966913,459356,1502359,5198,0,15488434,0,15488434,11205947,2344414,1838178,506236,192835,415769,1329469,3427329,15488434,13419149,2102544,11316605,3610045,560468,985698,297546,2481891,251020,142456,58675,2002895,172579,1554015,276301,393977,16152,293794,48632,52512,1409508,602249,309963,1321,143625,375107,176046,340783,15547,22226,334313,12757,122227,53976,348268,111442,35996,89439,20784,297205,244332,102937,240843,383070,408863,1497101,736584,241870,128398,548935,4722,54529,3232,1329469,296771,1028093,4605,0,9720244,270883,9449361,3438050,1451086,1353507,84720476,10491667,582790,9890664,18213,0,74228809,3781971,500787,69946051
Alaska,2014,6,55867,41210,16294653,13554801,3079272,3079272,0,0,10475529,5080920,1450513,579352,222929,356423,42467,44059,104404,6405,159088,0,408938,80560,2561557,5394609,1467751,212552,181035,7731,382518,79270,137689,386,69089,23743,11760,65003,103895,77903,303943,3926858,815378,4609,305806,2801065,382814,105278,269705,0,7831,4492,2352546,139778,2207449,5319,0,16465540,0,16465540,11852634,2719363,2289876,429487,194111,455681,1243751,3421831,16465540,14421663,2389947,12031716,3573311,506043,929611,236255,2491011,258620,152689,51679,2033686,174353,1575896,283437,375967,3000,275006,43471,0,1610052,781663,259941,1230,153351,371803,206896,343526,7128,25060,369429,9187,110292,40608,401128,113985,41536,124574,52869,294010,250668,98864,303426,425275,361913,2243120,797130,329416,141964,584271,12403,58492,2996,1243751,145628,1093376,4747,0,9169121,349257,8819864,3486766,807794,1016964,90209977,8707339,649080,8040046,18213,0,81502638,3879479,527898,77095261
Alaska,2015,8,57575,42555.1,11931622,10810293,2929265,2929265,0,0,7881028,3102853,1476095,602608,235759,366849,42003,45035,101232,12962,165617,0,227852,52574,743724,4778175,1520398,218706,185684,7308,365595,84580,156295,1233,72226,26358,15712,61401,106418,82832,329042,3257777,819958,6281,282484,2149054,405910,113559,284633,0,7718,6019,709400,212932,491080,5388,0,16856025,0,16856025,12177656,2792085,2446644,345441,196622,393291,1296371,3448682,16856025,14804235,2514270,12289965,3661680,464228,865213,173575,2651136,288237,145331,52626,2013118,175812,1551345,285961,459227,45289,269346,40572,0,1593636,815048,328665,1482,169256,395059,239799,348405,16937,17389,383882,5671,134566,38895,340108,112862,35090,143299,57803,338775,261625,126287,336325,361331,483822,2191093,752347,277815,148786,526736,29099,47726,3072,1296371,129736,1162350,4285,0,9237957,203250,9034707,3346176,1250472,1501880,90036464,10399027,831482,9548896,18649,0,79637437,3795057,504533,75337847
Alaska,2016,11,56278,41837.4,11497088,10649509,3128884,3128884,0,0,7520625,2694790,1517934,609213,234574,374639,48773,47756,106275,12316,159519,0,67457,61171,439015,4825835,1589998,229891,196746,7308,390326,89536,160823,1341,76338,44469,17954,52183,106309,85409,335419,3235837,745056,9199,383413,2098169,420465,113251,299972,0,7242,6194,420920,183523,232244,5153,0,15839199,0,15839199,11327775,2670298,2143752,526546,155125,323131,1362870,3483980,15839199,13642439,2451967,11190472,3542512,624691,1092961,361482,2366586,262098,82965,46079,2238872,121747,1774673,342452,462159,61959,244403,37939,0,1590169,890633,296850,1646,170528,368170,220101,339537,14148,39161,427450,27396,117226,25411,346156,114002,23373,142848,50034,356156,254253,90046,295111,282646,285377,1333042,830825,218331,154509,452327,170295,53694,3065,1362870,132158,1225837,4875,0,9383122,190374,9192748,3351276,1393354,1182623,86931554,9928906,866440,9046822,15644,0,77002648,3802119,710638,72489891
Alaska,2018,5,59783,44102.7,13759361,11507429,3704888,3704888,0,0,7802542,3562663,1614486,627859,246664,381195,47149,45289,92469,17169,179119,0,196321,57838,1066159,4239878,1617764,220087,191114,7218,422077,75762,203521,1270,74851,26887,23675,48668,111391,88539,321035,2622114,1011097,10385,501330,1099303,440989,110316,324419,314,5939,10233,1800711,150471,1645586,4654,0,16640998,0,16640998,12653365,2047676,1707079,340597,156646,342421,1440890,3525766,16640998,14505489,1872582,12632907,3206959,272466,800812,142968,2293601,129380,112546,43633,2682115,120962,2140689,420464,452399,8027,295528,33665,0,1573321,672612,402321,1302,125051,430195,226961,443121,4872,50685,546218,45760,129244,20152,275416,139037,52906,118821,19834,414618,307087,151800,362513,304403,262273,1526802,686856,175092,136106,399604,96723,54424,7763,1440890,110607,1327023,3260,0,9266021,57369,9208652,3557215,720252,955391,99566639,16479216,899464,15559589,20163,0,83087423,4011491,379215,78696718
Alaska,2019,11,61639,45293.9,13840325,12106780,3963195,3963195,0,0,8143585,3741738,1625180,697602,262969,434633,57392,47055,97609,18765,213812,0,332520,58215,1028221,4401847,1647524,214009,184461,9047,427901,77013,198123,1416,78255,24012,21681,46192,118030,95094,345797,2754323,1322691,10428,419118,1002086,426059,116289,304026,0,5743,10393,1297094,144119,1147345,5630,0,14996568,0,14996568,11041512,2004039,1639252,364787,154941,331457,1464618,3607036,14996568,12908348,1891406,11016942,3177323,204009,746254,73090,2345759,130801,85310,36778,2786410,119053,2323495,343862,453669,6773,236302,18478,0,1316614,713539,373209,1366,139244,383142,227941,338387,8970,41305,403624,26643,124265,15328,234028,156645,72077,117992,20646,386187,242974,82399,297103,291725,275936,765299,615909,112631,134591,349930,80645,50744,7693,1464618,85082,1376218,3318,0,9505582,60367,9445215,3755323,654940,839814,101209834,16709916,953558,15735384,20974,0,84499918,4312777,354165,79832976
